Tipo;Bairro;Quartos;Vagas;Suites;Area;Valor;Condominio;IPTU
Quitinete;Copacabana;1;0;0;28;1100.0;580.0;25.0
Apartamento;Vila Isabel;1;1;0;66;1000.0;750.0;20.0
Casa de Vila;Maracanã;1;0;0;25;900.0;;
Quitinete;Catete;1;0;0;29;850.0;364.0;29.0
Apartamento;Centro;1;0;0;33;850.0;342.0;21.0
Apartamento;Riachuelo;1;0;0;60;1050.0;;
Apartamento;Copacabana;1;0;0;28;950.0;647.0;56.0
Apartamento;Vila da Penha;1;0;0;40;900.0;;
Casa;Anil;1;0;0;35;1000.0;;
Quitinete;Vila da Penha;1;0;0;20;450.0;;
Apartamento;Vila Valqueire;1;0;0;40;850.0;;
Apartamento;Cachambi;1;0;0;55;850.0;;
Quitinete;Jacarepaguá;1;0;0;20;300.0;15.0;7.0
Apartamento;Praça Seca;1;0;0;47;500.0;10.0;
Casa;Maria da Graça;1;0;0;40;800.0;;
Quitinete;Catete;1;0;0;26;1050.0;350.0;
Quitinete;Laranjeiras;1;0;0;23;1000.0;400.0;25.0
Apartamento;Pechincha;1;1;0;61;1000.0;347.0;52.0
Quitinete;Flamengo;1;0;0;26;1100.0;390.0;
Apartamento;Campo Grande;1;0;1;70;600.0;;
Apartamento;Freguesia (Jacarepaguá);1;1;0;41;750.0;357.0;16.0
Quitinete;Engenho de Dentro;1;0;0;30;750.0;;
Casa de Vila;Vicente de Carvalho;1;0;0;50;600.0;;
Casa de Vila;Oswaldo Cruz;1;0;0;40;700.0;140.0;
Casa de Vila;Bangu;1;0;0;20;400.0;;
Flat;Curicica;1;1;1;48;1000.0;950.0;
Apartamento;Barra da Tijuca;1;1;1;42;1100.0;669.0;
Apartamento;Vargem Pequena;1;1;1;70;1000.0;680.0;89.0
Apartamento;Catete;1;0;0;26;800.0;400.0;29.0
Quitinete;Centro;1;0;0;25;700.0;260.0;20.0
Quitinete;Quintino Bocaiúva;1;0;0;40;400.0;240.0;
Apartamento;Freguesia (Jacarepaguá);1;1;0;32;900.0;263.0;15.0
Apartamento;Campo Grande;1;0;0;45;550.0;;
Quitinete;Braz de Pina;1;0;0;30;450.0;;
Apartamento;Vila da Penha;1;0;0;25;600.0;;
Apartamento;Campo Grande;1;0;0;35;500.0;;
Apartamento;Copacabana;1;0;0;31;1100.0;506.0;58.0
Quitinete;Centro;1;0;0;19;850.0;300.0;24.0
Quitinete;Centro;1;0;0;25;800.0;350.0;
Quitinete;Centro;1;0;0;31;750.0;350.0;20.0
Apartamento;Madureira;1;0;0;45;550.0;198.0;
Quitinete;Praça da Bandeira;1;0;0;23;900.0;363.0;25.0
Apartamento;Centro;1;0;0;15;800.0;305.0;20.0
Casa;Campo Grande;1;0;0;40;600.0;;
Quitinete;Tijuca;1;0;0;30;950.0;193.0;24.0
Casa;Oswaldo Cruz;1;0;0;36;800.0;;
Apartamento;Jacarepaguá;1;1;0;50;1100.0;480.0;14.0
Casa;Senador Vasconcelos;1;1;0;50;650.0;;
Apartamento;Braz de Pina;1;1;0;45;720.0;80.0;
Quitinete;Catete;1;0;0;30;1000.0;403.0;
Apartamento;Centro;1;0;0;30;1100.0;400.0;
Quitinete;Laranjeiras;1;0;0;27;1000.0;460.0;25.0
Apartamento;Riachuelo;1;1;0;45;900.0;557.0;16.0
Apartamento;Vaz Lobo;1;1;1;44;800.0;;
Apartamento;Marechal Hermes;1;0;0;33;600.0;3.0;
Casa de Vila;Pavuna;1;0;0;41;600.0;67.0;
Quitinete;Rocha Miranda;1;0;0;30;400.0;;
Apartamento;Rocha Miranda;1;0;0;45;500.0;80.0;
Apartamento;Sampaio;1;1;0;60;1000.0;400.0;
Apartamento;Moneró;1;0;0;50;1100.0;360.0;49.0
Apartamento;Bonsucesso;1;0;0;35;850.0;;10.0
Apartamento;Freguesia (Jacarepaguá);1;0;0;28;550.0;;
Apartamento;Botafogo;1;0;0;35;1000.0;293.0;86.0
Quitinete;Vargem Grande;1;0;0;35;800.0;230.0;
Quitinete;Centro;1;0;0;35;650.0;398.0;
Apartamento;Tijuca;1;0;0;40;1100.0;450.0;24.0
Apartamento;Maracanã;1;0;0;50;1100.0;492.0;20.0
Quitinete;Centro;1;0;0;30;750.0;330.0;25.0
Quitinete;Centro;1;0;0;25;700.0;292.0;24.0
Quitinete;Botafogo;1;0;0;21;1000.0;350.0;291.0
Apartamento;Freguesia (Ilha do Governador);1;0;0;40;800.0;150.0;
Quitinete;Copacabana;1;0;0;28;1000.0;567.0;
Quitinete;Botafogo;1;0;0;20;1100.0;481.0;29.0
Quitinete;Centro;1;0;0;25;800.0;200.0;25.0
Apartamento;Recreio dos Bandeirantes;1;0;0;50;900.0;100.0;62.0
Apartamento;Oswaldo Cruz;1;1;0;50;650.0;227.0;
Casa de Condomínio;Campo Grande;1;0;0;50;700.0;;
Quitinete;Botafogo;1;0;0;21;800.0;350.0;
Quitinete;Botafogo;1;0;0;28;1100.0;481.0;25.0
Quitinete;Copacabana;1;0;0;25;1000.0;385.0;
Apartamento;Jardim Sulacap;1;0;0;72;880.0;;13.0
Apartamento;Santa Teresa;1;0;0;35;800.0;400.0;
Quitinete;Gardênia Azul;1;0;0;25;490.0;15.0;
Apartamento;Ilha do Governador;1;0;0;45;1000.0;355.0;20.0
Casa;Olaria;1;0;0;35;800.0;;
Quitinete;Centro;1;0;0;42;850.0;543.0;26.0
Casa;Penha;1;0;0;27;800.0;;
Casa;Vaz Lobo;1;0;0;30;400.0;;
Casa de Vila;Engenho de Dentro;1;0;0;50;1000.0;90.0;
Casa;Vicente de Carvalho;1;0;0;32;500.0;;
Casa;Vicente de Carvalho;1;0;1;50;1000.0;;
Apartamento;Campo Grande;1;0;0;50;439.0;;
Apartamento;Praça da Bandeira;1;0;0;30;800.0;355.0;25.0
Apartamento;Pechincha;1;0;0;60;1100.0;347.0;55.0
Quitinete;Centro;1;0;0;18;950.0;397.0;24.0
Apartamento;Cachambi;1;0;0;40;800.0;150.0;
Quitinete;Grajaú;1;0;0;40;900.0;250.0;10.0
Apartamento;Glória;1;0;0;30;1100.0;361.0;24.0
Quitinete;Glória;1;0;0;35;1100.0;495.0;
Quitinete;Estácio;1;0;0;18;600.0;150.0;25.0
Casa;Inhoaíba;1;0;0;50;600.0;;
Quitinete;Copacabana;1;0;0;30;1000.0;488.0;54.0
Quitinete;Botafogo;1;0;0;18;1000.0;436.0;25.0
Apartamento;Cachambi;1;1;0;45;700.0;210.0;
Apartamento;Méier;1;0;0;40;1100.0;500.0;13.0
Apartamento;Penha;1;0;0;50;900.0;250.0;
Apartamento;Andaraí;1;0;0;40;1000.0;340.0;190.0
Apartamento;Todos os Santos;1;1;1;48;1000.0;490.0;
Apartamento;Engenho de Dentro;1;0;0;30;300.0;50.0;
Casa de Vila;Ramos;1;0;0;40;750.0;;
